tracking number,rate__shipment__address_to__zip,Account
9374869903505582700073,98374-8866,5358164
9374869903505582776382,75010-1347,5358164
9374869903505582804788,92346-3903,5358164
9374869903505582819492,31093-1639,5358164
9374869903505583004576,44131-6361,5358164
9374869903505583035761,34221-7421,5358164
9374869903505583039585,37218-1037,5358164
9374869903505583045586,19010-1026,5358164
9374869903505583052799,70354-3503,5358164
9374869903505583054762,56111-3041,5358164
9374869903505583056919,49765-0523,5358164
9374869903505583059460,33572-8101,5358164
9374869903505583067076,33193-2572,5358164
9374869903505583069414,07646-3247,5358164
9374869903505583073855,78258-4564,5358164
630DEF0C5B8C424FA6C6BD622,T5A 3J8,5358164
6863AF3AB00D4B5D9EC219144,n3y4j9,5358164
F977B3AC3A0D442689CDF9BFE,L0R1W0,5358164
4B23CDBFAB2446DF9E1473B0F,T2W0Z1,5358164
8626CE2662CF4EE28C6308E4E,P1L0A1,5358164
9374869903505583139100,29053-9379,5358164
3200033AD2FF4EBE8126A456F,V1W 3S9,5358164
9374869903505583272630,22401-6634,5358164
9374869903505587757850,33322-5548,5358164
9374869903505587776578,30028-3998,5358164
9374869903505587788007,39180-6234,5358164
9374869903505587796200,66937-9771,5358164
9374869903505587825122,24641-2183,5358164
9374869903505587835763,75098-5563,5358164
9374869903505587841849,19134-1402,5358164
9374869903505587849128,28543-1109,5358164
9374869903505587867825,27030-2312,5358164
9374869903505587870498,48135-1049,5358164
9374869903505587881449,10003-4185,5358164
9374869903505587885447,80111-4215,5358164
9374869903505587889759,28117-6060,5358164
9374869903505587889322,07840-3518,5358164
9374869903505587892100,62025-4908,5358164
9374869903505587895156,70806-3456,5358164
9374869903505587896924,01020-1511,5358164
9374869903505587898959,35670-3731,5358164
9374869903505587901031,02038-3022,5358164
9374869903505587907873,32504-8487,5358164
9374869903505587868785,32222-2827,5358164
9374869903505587912020,30005-3587,5358164
9374869903505587869225,60409-1803,5358164
9374869903505587922524,76034-1485,5358164
2376E4F4C4AE4C57A33B9ED4A,ToJ1X2,5358164
435502CD1EA34A6F9F8D26ECE,T4T 1N3,5358164
9374869903505588203455,75048-4252,5358164
9374869903505630832992,90660-3237,5358164
9374869903505630832442,93307-4634,5358164
9374869903505630835221,30564-6934,5358164
9374869903505630840997,11228,5358164
9374869903505630844759,31405-0334,5358164
9374869903505630845916,31023-7570,5358164
9374869903505630856073,33177-5229,5358164
9374869903505630857339,21215-7063,5358164
9374869903505630857353,86442-6078,5358164
9374869903505630863743,32701-6305,5358164
9374869903505630863859,06492-4845,5358164
9374869903505630867635,48858-9064,5358164
9374869903505630868977,96814-4091,5358164
9374869903505630870802,80911-3306,5358164
9374869903505630872363,30236-4241,5358164
9374869903505630881730,95376-3710,5358164
9374869903505630881761,08302-2931,5358164
9374869903505630922389,76040-7636,5358164
9374869903505630925533,74955-2619,5358164
9374869903505630928343,62837-2420,5358164
9374869903505630930520,30046-4655,5358164
9374869903505630940789,20850-2510,5358164
9374869903505630940888,35209-5540,5358164
9374869903505630949010,76021-5843,5358164
66C593114874460A9ADAD8A24,H4E 2X5,5358164
9374869903505630963542,36619-5200,5358164
9374869903505630966758,78557-2582,5358164
