Shipment - Tracking Number,Ship To - Postal Code,Account
9374869903505581387169,33198-1534,5357703
9374869903505581387183,80526-3667,5357703
9374869903505581387176,98133-9448,5357703
9374869903505581387213,60077-3489,5357703
9374869903505581387749,34219-8420,5357703
9374869903505581387190,48221-2211,5357703
20201001060702526YTLVAPD,5849245,5357703
9374869903505581387237,59044-2201,5357703
9374869903505581387244,64152-5714,5357703
9374869903505581387770,10977-4224,5357703
9374869903505581387794,33122-1010,5357703
9374869903505581387800,93234-1941,5357703
9374869903505581387282,30501-1657,5357703
9374869903505581387817,48097-3322,5357703
9374869903505581387831,10301-1865,5357703
9374869903505581382775,12887-2117,5357703
9374869903505581387299,36117-5717,5357703
9374869903505581387886,40601-9778,5357703
9374869903505581387893,54129-9202,5357703
9374869903505581382782,28806-2711,5357703
9374869903505581387909,07747-2211,5357703
9374869903505581387312,90502-2626,5357703
9374869903505581387336,19703-1518,5357703
9374869903505581387350,81328-9059,5357703
9374869903505581387961,19804-2045,5357703
9374869903505581382799,53081-5032,5357703
9374869903505581387374,33172-2780,5357703
9374869903505581387954,37110-5510,5357703
9374869903505581387343,90723-6399,5357703
9374869903505581387930,46204-2670,5357703
9374869903505581388005,62702-3711,5357703
9374869903505581387398,87111-4654,5357703
9374869903505581388029,92308-6331,5357703
9374869903505581388036,60505-5514,5357703
9374869903505581387404,90049-5651,5357703
9374869903505581382805,07030-0182,5357703
9374869903505581387381,06355-1428,5357703
9374869903505581387428,83263-1146,5357703
9374869903505581388074,49093-9619,5357703
9374869903505581387435,39465-9421,5357703
9374869903505581387442,75056-5240,5357703
9374869903505581388081,78251-2562,5357703
9374869903505581388098,93444-8990,5357703
9374869903505581387459,47130-6359,5357703
9374869903505581388104,80435-7001,5357703
9374869903505581388111,22031-2744,5357703
9374869903505581387466,77369,5357703
9374869903505581387473,33162-1766,5357703
9374869903505581387480,33170-3706,5357703
9374869903505581388128,11219-5714,5357703
9374869903505581388159,63103-2005,5357703
9374869903505581388524,93723-4071,5357703
9374869903505581388173,41018-1221,5357703
9374869903505581388531,38134-7503,5357703
9374869903505581388180,33191-1501,5357703
9374869903505581388555,75287-3590,5357703
9374869903505581388579,11704-4850,5357703
