Zip3,Zone
5,Zone 01
6,Zone 11
7,Zone 11
8,Zone 11
9,Zone 11
10,Zone 02
11,Zone 02
12,Zone 02
13,Zone 02
14,Zone 02
15,Zone 02
16,Zone 02
17,Zone 02
18,Zone 03
19,Zone 03
20,Zone 03
21,Zone 03
22,Zone 03
23,Zone 03
24,Zone 03
25,Zone 03
26,Zone 03
27,Zone 03
28,Zone 03
29,Zone 03
30,Zone 03
31,Zone 03
32,Zone 03
33,Zone 03
34,Zone 03
35,Zone 03
36,Zone 03
37,Zone 03
38,Zone 03
39,Zone 03
40,Zone 03
41,Zone 03
42,Zone 03
43,Zone 03
44,Zone 04
45,Zone 03
46,Zone 04
47,Zone 04
48,Zone 03
49,Zone 04
50,Zone 03
51,Zone 03
52,Zone 03
53,Zone 03
54,Zone 03
55,Zone 03
56,Zone 03
57,Zone 03
58,Zone 03
59,Zone 03
60,Zone 02
61,Zone 02
62,Zone 02
63,Zone 02
64,Zone 02
65,Zone 02
66,Zone 01
67,Zone 02
68,Zone 01
69,Zone 01
70,Zone 01
71,Zone 01
72,Zone 01
73,Zone 01
74,Zone 01
75,Zone 01
76,Zone 01
77,Zone 01
78,Zone 01
79,Zone 01
80,Zone 02
81,Zone 02
82,Zone 02
83,Zone 02
84,Zone 02
85,Zone 01
86,Zone 01
87,Zone 01
88,Zone 01
89,Zone 01
90,Zone 01
91,Zone 01
92,Zone 01
93,Zone 01
94,Zone 01
95,Zone 01
96,Zone 01
97,Zone 01
98,Zone 01
99,Zone 01
100,Zone 01
101,Zone 01
102,Zone 01
103,Zone 01
104,Zone 01
105,Zone 01
106,Zone 01
107,Zone 01
108,Zone 01
109,Zone 01
110,Zone 01
111,Zone 01
112,Zone 01
113,Zone 01
114,Zone 01
115,Zone 01
116,Zone 01
117,Zone 01
118,Zone 01
119,Zone 01
120,Zone 02
121,Zone 02
122,Zone 02
123,Zone 02
124,Zone 02
125,Zone 02
126,Zone 02
127,Zone 02
128,Zone 02
129,Zone 02
130,Zone 03
131,Zone 03
132,Zone 03
133,Zone 03
134,Zone 03
135,Zone 03
136,Zone 03
137,Zone 03
138,Zone 03
139,Zone 03
140,Zone 03
141,Zone 03
142,Zone 03
143,Zone 03
144,Zone 03
145,Zone 03
146,Zone 03
147,Zone 03
148,Zone 03
149,Zone 03
150,Zone 04
151,Zone 04
152,Zone 04
153,Zone 04
154,Zone 04
155,Zone 03
156,Zone 04
157,Zone 03
158,Zone 03
159,Zone 03
160,Zone 04
161,Zone 04
162,Zone 04
163,Zone 04
164,Zone 04
165,Zone 04
166,Zone 03
167,Zone 03
168,Zone 03
169,Zone 02
170,Zone 02
171,Zone 02
172,Zone 02
173,Zone 02
174,Zone 02
175,Zone 02
176,Zone 02
177,Zone 02
178,Zone 02
179,Zone 02
180,Zone 01
181,Zone 01
182,Zone 01
183,Zone 01
184,Zone 01
185,Zone 01
186,Zone 01
187,Zone 01
188,Zone 01
189,Zone 02
190,Zone 02
191,Zone 02
192,Zone 02
193,Zone 02
194,Zone 02
195,Zone 02
196,Zone 02
197,Zone 02
198,Zone 02
199,Zone 02
200,Zone 03
201,Zone 03
202,Zone 03
203,Zone 03
204,Zone 03
205,Zone 03
206,Zone 03
207,Zone 03
208,Zone 03
209,Zone 03
210,Zone 02
211,Zone 02
212,Zone 02
214,Zone 02
215,Zone 02
216,Zone 03
217,Zone 02
218,Zone 03
219,Zone 02
220,Zone 03
221,Zone 03
222,Zone 03
223,Zone 03
224,Zone 03
225,Zone 03
226,Zone 03
227,Zone 03
228,Zone 03
229,Zone 03
230,Zone 03
231,Zone 03
232,Zone 03
233,Zone 03
234,Zone 03
235,Zone 03
236,Zone 03
237,Zone 03
238,Zone 03
239,Zone 03
240,Zone 04
241,Zone 04
242,Zone 04
243,Zone 04
244,Zone 03
245,Zone 04
246,Zone 04
247,Zone 04
248,Zone 04
249,Zone 04
250,Zone 04
251,Zone 04
252,Zone 04
253,Zone 04
254,Zone 02
255,Zone 04
256,Zone 04
257,Zone 04
258,Zone 04
259,Zone 04
260,Zone 04
261,Zone 04
262,Zone 04
263,Zone 04
264,Zone 04
265,Zone 04
266,Zone 04
267,Zone 02
268,Zone 03
270,Zone 04
271,Zone 04
272,Zone 04
273,Zone 04
274,Zone 04
275,Zone 04
276,Zone 04
277,Zone 04
278,Zone 04
279,Zone 04
280,Zone 04
281,Zone 04
282,Zone 04
283,Zone 04
284,Zone 04
285,Zone 04
286,Zone 04
287,Zone 04
288,Zone 04
289,Zone 04
290,Zone 04
291,Zone 04
292,Zone 04
293,Zone 04
294,Zone 05
295,Zone 04
296,Zone 04
297,Zone 04
298,Zone 05
299,Zone 05
300,Zone 05
301,Zone 05
302,Zone 05
303,Zone 05
304,Zone 05
305,Zone 05
306,Zone 05
307,Zone 05
308,Zone 05
309,Zone 05
310,Zone 05
311,Zone 05
312,Zone 05
313,Zone 05
314,Zone 05
315,Zone 05
316,Zone 05
317,Zone 05
318,Zone 05
319,Zone 05
320,Zone 05
321,Zone 05
322,Zone 05
323,Zone 05
324,Zone 06
325,Zone 06
326,Zone 05
327,Zone 05
328,Zone 05
329,Zone 05
330,Zone 06
331,Zone 06
332,Zone 06
333,Zone 06
334,Zone 06
335,Zone 05
336,Zone 05
337,Zone 05
338,Zone 05
339,Zone 06
340,Zone 06
341,Zone 06
342,Zone 05
344,Zone 05
346,Zone 05
347,Zone 05
349,Zone 06
350,Zone 05
351,Zone 05
352,Zone 05
354,Zone 05
355,Zone 05
356,Zone 05
357,Zone 05
358,Zone 05
359,Zone 05
360,Zone 05
361,Zone 05
362,Zone 05
363,Zone 05
364,Zone 05
365,Zone 06
366,Zone 06
367,Zone 05
368,Zone 05
369,Zone 06
370,Zone 05
371,Zone 05
372,Zone 05
373,Zone 05
374,Zone 05
375,Zone 05
376,Zone 04
377,Zone 04
378,Zone 04
379,Zone 04
380,Zone 05
381,Zone 05
382,Zone 05
383,Zone 05
384,Zone 05
385,Zone 05
386,Zone 05
387,Zone 06
388,Zone 05
389,Zone 06
390,Zone 06
391,Zone 06
392,Zone 06
393,Zone 06
394,Zone 06
395,Zone 06
396,Zone 06
397,Zone 06
398,Zone 05
399,Zone 05
400,Zone 05
401,Zone 05
402,Zone 05
403,Zone 04
404,Zone 04
405,Zone 04
406,Zone 04
407,Zone 04
408,Zone 04
409,Zone 04
410,Zone 04
411,Zone 04
412,Zone 04
413,Zone 04
414,Zone 04
415,Zone 04
416,Zone 04
417,Zone 04
418,Zone 04
420,Zone 05
421,Zone 05
422,Zone 05
423,Zone 05
424,Zone 05
425,Zone 04
426,Zone 04
427,Zone 05
430,Zone 04
431,Zone 04
432,Zone 04
433,Zone 04
434,Zone 04
435,Zone 04
436,Zone 04
437,Zone 04
438,Zone 04
439,Zone 04
440,Zone 04
441,Zone 04
442,Zone 04
443,Zone 04
444,Zone 04
445,Zone 04
446,Zone 04
447,Zone 04
448,Zone 04
449,Zone 04
450,Zone 04
451,Zone 04
452,Zone 04
453,Zone 04
454,Zone 04
455,Zone 04
456,Zone 04
457,Zone 04
458,Zone 04
459,Zone 04
460,Zone 05
461,Zone 05
462,Zone 05
463,Zone 05
464,Zone 05
465,Zone 05
466,Zone 05
467,Zone 04
468,Zone 04
469,Zone 05
470,Zone 04
471,Zone 05
472,Zone 05
473,Zone 04
474,Zone 05
475,Zone 05
476,Zone 05
477,Zone 05
478,Zone 05
479,Zone 05
480,Zone 04
481,Zone 04
482,Zone 04
483,Zone 04
484,Zone 04
485,Zone 04
