ActiveDate,Zip3,Zone
3/1/2020,1,
3/1/2020,2,
3/1/2020,3,
3/1/2020,4,
3/1/2020,5,1
3/1/2020,6,7
3/1/2020,7,7
3/1/2020,8,7
3/1/2020,9,7
3/1/2020,10,2
3/1/2020,11,2
3/1/2020,12,2
3/1/2020,13,2
3/1/2020,14,2
3/1/2020,15,2
3/1/2020,16,2
3/1/2020,17,2
3/1/2020,18,3
3/1/2020,19,3
3/1/2020,20,3
3/1/2020,21,3
3/1/2020,22,3
3/1/2020,23,3
3/1/2020,24,3
3/1/2020,25,3
3/1/2020,26,3
3/1/2020,27,3
3/1/2020,28,3
3/1/2020,29,3
3/1/2020,30,3
3/1/2020,31,3
3/1/2020,32,3
3/1/2020,33,3
3/1/2020,34,3
3/1/2020,35,3
3/1/2020,36,3
3/1/2020,37,3
3/1/2020,38,3
3/1/2020,39,3
3/1/2020,40,3
3/1/2020,41,3
3/1/2020,42,3
3/1/2020,43,3
3/1/2020,44,4
3/1/2020,45,3
3/1/2020,46,4
3/1/2020,47,4
3/1/2020,48,3
3/1/2020,49,4
3/1/2020,50,3
3/1/2020,51,3
3/1/2020,52,3
3/1/2020,53,3
3/1/2020,54,3
3/1/2020,55,3
3/1/2020,56,3
3/1/2020,57,3
3/1/2020,58,3
3/1/2020,59,3
3/1/2020,60,2
3/1/2020,61,2
3/1/2020,62,2
3/1/2020,63,2
3/1/2020,64,2
3/1/2020,65,2
3/1/2020,66,1
3/1/2020,67,2
3/1/2020,68,1
3/1/2020,69,1
3/1/2020,70,1
3/1/2020,71,1
3/1/2020,72,1
3/1/2020,73,1
3/1/2020,74,1
3/1/2020,75,1
3/1/2020,76,1
3/1/2020,77,1
3/1/2020,78,1
3/1/2020,79,1
3/1/2020,80,2
3/1/2020,81,2
3/1/2020,82,2
3/1/2020,83,2
3/1/2020,84,2
3/1/2020,85,1
3/1/2020,86,1
3/1/2020,87,1
3/1/2020,88,1
3/1/2020,89,1
3/1/2020,90,1
3/1/2020,91,1
3/1/2020,92,1
3/1/2020,93,1
3/1/2020,94,1
3/1/2020,95,1
3/1/2020,96,1
3/1/2020,97,1
3/1/2020,98,1
3/1/2020,99,1
3/1/2020,100,1
3/1/2020,101,1
3/1/2020,102,1
3/1/2020,103,1
3/1/2020,104,1
3/1/2020,105,1
3/1/2020,106,1
3/1/2020,107,1
3/1/2020,108,1
3/1/2020,109,1
3/1/2020,110,1
3/1/2020,111,1
3/1/2020,112,1
3/1/2020,113,1
3/1/2020,114,1
3/1/2020,115,1
3/1/2020,116,1
3/1/2020,117,1
3/1/2020,118,1
3/1/2020,119,1
3/1/2020,120,2
3/1/2020,121,2
3/1/2020,122,2
3/1/2020,123,2
3/1/2020,124,2
3/1/2020,125,2
3/1/2020,126,2
3/1/2020,127,2
3/1/2020,128,2
3/1/2020,129,2
3/1/2020,130,3
3/1/2020,131,3
3/1/2020,132,3
3/1/2020,133,3
3/1/2020,134,3
3/1/2020,135,3
3/1/2020,136,3
3/1/2020,137,3
3/1/2020,138,3
3/1/2020,139,3
3/1/2020,140,3
3/1/2020,141,3
3/1/2020,142,3
3/1/2020,143,3
3/1/2020,144,3
3/1/2020,145,3
3/1/2020,146,3
3/1/2020,147,3
3/1/2020,148,3
3/1/2020,149,3
3/1/2020,150,4
3/1/2020,151,4
3/1/2020,152,4
3/1/2020,153,4
3/1/2020,154,4
3/1/2020,155,3
3/1/2020,156,4
3/1/2020,157,3
3/1/2020,158,3
3/1/2020,159,3
3/1/2020,160,4
3/1/2020,161,4
3/1/2020,162,4
3/1/2020,163,4
3/1/2020,164,4
3/1/2020,165,4
3/1/2020,166,3
3/1/2020,167,3
3/1/2020,168,3
3/1/2020,169,2
3/1/2020,170,2
3/1/2020,171,2
3/1/2020,172,2
3/1/2020,173,2
3/1/2020,174,2
3/1/2020,175,2
3/1/2020,176,2
3/1/2020,177,2
3/1/2020,178,2
3/1/2020,179,2
3/1/2020,180,1
3/1/2020,181,1
3/1/2020,182,1
3/1/2020,183,1
3/1/2020,184,1
3/1/2020,185,1
3/1/2020,186,1
3/1/2020,187,1
3/1/2020,188,1
3/1/2020,189,2
3/1/2020,190,2
3/1/2020,191,2
3/1/2020,192,2
3/1/2020,193,2
3/1/2020,194,2
3/1/2020,195,2
3/1/2020,196,2
3/1/2020,197,2
3/1/2020,198,2
3/1/2020,199,2
3/1/2020,200,3
3/1/2020,201,3
3/1/2020,202,3
3/1/2020,203,3
3/1/2020,204,3
3/1/2020,205,3
3/1/2020,206,3
3/1/2020,207,3
3/1/2020,208,3
3/1/2020,209,3
3/1/2020,210,2
3/1/2020,211,2
3/1/2020,212,2
3/1/2020,213,
3/1/2020,214,2
3/1/2020,215,2
3/1/2020,216,3
3/1/2020,217,2
3/1/2020,218,3
3/1/2020,219,2
3/1/2020,220,3
3/1/2020,221,3
3/1/2020,222,3
3/1/2020,223,3
3/1/2020,224,3
3/1/2020,225,3
3/1/2020,226,3
3/1/2020,227,3
3/1/2020,228,3
3/1/2020,229,3
3/1/2020,230,3
3/1/2020,231,3
3/1/2020,232,3
3/1/2020,233,3
3/1/2020,234,3
3/1/2020,235,3
3/1/2020,236,3
3/1/2020,237,3
3/1/2020,238,3
3/1/2020,239,3
3/1/2020,240,4
3/1/2020,241,4
3/1/2020,242,5
3/1/2020,243,4
3/1/2020,244,3
3/1/2020,245,4
3/1/2020,246,4
3/1/2020,247,4
3/1/2020,248,4
3/1/2020,249,4
3/1/2020,250,4
3/1/2020,251,4
3/1/2020,252,4
3/1/2020,253,4
3/1/2020,254,2
3/1/2020,255,4
3/1/2020,256,4
3/1/2020,257,4
3/1/2020,258,4
3/1/2020,259,4
3/1/2020,260,4
3/1/2020,261,4
3/1/2020,262,4
3/1/2020,263,4
3/1/2020,264,4
3/1/2020,265,4
3/1/2020,266,4
3/1/2020,267,2
3/1/2020,268,3
3/1/2020,269,
3/1/2020,270,4
3/1/2020,271,4
3/1/2020,272,4
3/1/2020,273,4
3/1/2020,274,4
3/1/2020,275,4
3/1/2020,276,4
3/1/2020,277,4
3/1/2020,278,4
3/1/2020,279,4
3/1/2020,280,4
3/1/2020,281,4
3/1/2020,282,4
3/1/2020,283,4
3/1/2020,284,4
3/1/2020,285,4
3/1/2020,286,4
3/1/2020,287,4
3/1/2020,288,4
3/1/2020,289,4
3/1/2020,290,4
3/1/2020,291,4
