Bill Date	Ship Date	Delivery_Confirm	Material_or_VAS_Num	Overlabeled Value	Invoice
09/29/2019	08/21/2019	9374869903504029304843	82		21373553
09/29/2019	08/09/2019	9374869903504003156550	82		21373553
09/29/2019	08/21/2019	9374869903504031144895	82		21373553
09/29/2019	08/21/2019	9374869903504029306281	82		21373553
09/29/2019	08/20/2019	9374869903504026241363	82		21373553
09/29/2019	08/19/2019	9374869903504026051481	82		21373553
09/29/2019	08/21/2019	9374869903504031149524	82		21373553
09/29/2019	08/21/2019	9374869903504029309879	82		21373553
09/29/2019	08/21/2019	9374869903504029305741	82		21373553
10/06/2019	08/27/2019	9361269903504044941232	83		21373553
10/06/2019	09/25/2019	LX652198265US	54		21373553
10/06/2019	09/25/2019	LX652198150US	54		21373553
10/06/2019	09/25/2019	LX652198234US	54		21373553
10/06/2019	09/25/2019	LX652198305US	54		21373553
10/06/2019	09/25/2019	LX652198282US	54		21373553
10/06/2019	09/25/2019	LX652198279US	54		21373553
10/06/2019	09/25/2019	RX135923737DE	54		21373553
10/06/2019	09/25/2019	RX135923652DE	54		21373553
10/06/2019	09/25/2019	LW459350651DE	54		21373553
10/06/2019	09/25/2019	LW459350648DE	54		21373553
10/06/2019	09/25/2019	RX135923670DE	54		21373553
10/06/2019	09/25/2019	RX135923697DE	54		21373553
10/06/2019	09/25/2019	LX652198146US	54		21373553
10/06/2019	09/25/2019	LX652198203US	54		21373553
10/06/2019	09/25/2019	LX652198101US	54		21373553
10/06/2019	09/25/2019	LW459350603DE	54		21373553
10/06/2019	09/25/2019	LX652198129US	54		21373553
10/06/2019	09/25/2019	LX652198194US	54		21373553
10/06/2019	09/25/2019	RX135923710DE	54		21373553
10/06/2019	09/20/2019	LX652099497US	54		21373553
10/06/2019	09/20/2019	LX652099510US	54		21373553
10/06/2019	09/20/2019	LX652099483US	54		21373553
10/06/2019	09/20/2019	RX135678682DE	54		21373553
10/06/2019	09/20/2019	LX652099470US	54		21373553
10/06/2019	09/20/2019	LX652099506US	54		21373553
10/06/2019	09/20/2019	LX652099466US	54		21373553
10/06/2019	09/23/2019	2232860929594449	27		21373553
10/06/2019	09/23/2019	UM271465762US	27		21373553
10/06/2019	09/23/2019	UM271465691US	27		21373553
10/06/2019	09/23/2019	UM271465816US	27		21373553
10/06/2019	09/23/2019	UM271465833US	27		21373553
10/06/2019	09/23/2019	UM271465780US	27		21373553
10/06/2019	09/23/2019	UM271465802US	27		21373553
10/06/2019	09/23/2019	UM271465759US	27		21373553
10/06/2019	09/23/2019	UM271465881US	27		21373553
10/06/2019	09/23/2019	UM271465705US	27		21373553
10/06/2019	09/23/2019	UM271465688US	27		21373553
10/06/2019	09/23/2019	UM271465731US	27		21373553
10/06/2019	09/23/2019	UM271465776US	27		21373553
10/06/2019	09/23/2019	UM271465728US	27		21373553
10/06/2019	09/23/2019	UM271465864US	27		21373553
10/06/2019	09/23/2019	UM271465918US	27		21373553
10/06/2019	09/23/2019	UM271525041US	27		21373553
10/06/2019	09/18/2019	UM271152605US	27		21373553
10/06/2019	09/26/2019	2232860966687579	27		21373553
10/06/2019	09/26/2019	2232860966692879	27		21373553
10/06/2019	09/26/2019	UM271738700US	27		21373553
10/06/2019	09/26/2019	UM271738320US	27		21373553
10/06/2019	09/26/2019	UM271738660US	27		21373553
10/06/2019	09/26/2019	UM271738316US	27		21373553
10/06/2019	09/26/2019	UM271738727US	27		21373553
10/06/2019	09/26/2019	UM271738276US	27		21373553
10/06/2019	09/26/2019	UM271738302US	27		21373553
10/06/2019	09/26/2019	UM271738231US	27		21373553
10/06/2019	09/26/2019	UM271738262US	27		21373553
10/06/2019	09/26/2019	UM271739197US	27		21373553
10/06/2019	09/26/2019	UM271738917US	27		21373553
10/06/2019	09/26/2019	UM271738280US	27		21373553
10/06/2019	09/26/2019	UM271738188US	27		21373553
10/06/2019	09/26/2019	UM271738347US	27		21373553
10/06/2019	09/26/2019	LX652223061US	54		21373553
10/06/2019	09/26/2019	LX652223058US	54		21373553
10/06/2019	09/23/2019	JJD0002251914213133	54		21373553
10/06/2019	09/23/2019	JJD0002251914213146	54		21373553
10/06/2019	09/23/2019	JJD0002251914213144	54		21373553
10/06/2019	09/23/2019	JJD0002251914213149	54		21373553
10/06/2019	09/23/2019	JJD0002251914213135	54		21373553
10/06/2019	09/23/2019	JJD0002251914213151	54		21373553
10/06/2019	09/23/2019	JJD0002251914213155	54		21373553
10/06/2019	09/23/2019	JJD0002251914213152	54		21373553
10/06/2019	09/23/2019	JJD0002251914213145	54		21373553
10/06/2019	09/23/2019	LX652132618US	54		21373553
10/06/2019	09/23/2019	LX652132520US	54		21373553
10/06/2019	09/23/2019	LX652132462US	54		21373553
10/06/2019	09/23/2019	LX652132604US	54		21373553
10/06/2019	09/23/2019	LX652132649US	54		21373553
10/06/2019	09/23/2019	LX652132635US	54		21373553
10/06/2019	09/23/2019	LX652132502US	54		21373553
10/06/2019	09/23/2019	LW459116628DE	54		21373553
10/06/2019	09/23/2019	LX652132621US	54		21373553
10/06/2019	09/23/2019	LX652132578US	54		21373553
10/06/2019	09/23/2019	LX652132581US	54		21373553
10/06/2019	09/23/2019	LX652132428US	54		21373553
10/06/2019	09/23/2019	LX652132652US	54		21373553
10/06/2019	09/23/2019	LX652132388US	54		21373553
10/06/2019	09/23/2019	LX652132595US	54		21373553
10/06/2019	09/23/2019	LX652132666US	54		21373553
10/06/2019	09/23/2019	LX652132459US	54		21373553
10/06/2019	09/23/2019	LX652132405US	54		21373553
10/06/2019	09/23/2019	LX652132547US	54		21373553
10/06/2019	09/23/2019	LX652132374US	54		21373553
10/06/2019	09/23/2019	LX652132365US	54		21373553
10/06/2019	09/23/2019	RX135793665DE	54		21373553
10/06/2019	09/23/2019	LW459116693DE	54		21373553
10/06/2019	09/23/2019	LX652132480US	54		21373553
10/06/2019	09/23/2019	LX652132564US	54		21373553
10/06/2019	09/23/2019	LX652132533US	54		21373553
10/06/2019	09/23/2019	LX652132391US	54		21373553
10/06/2019	09/23/2019	LX652132493US	54		21373553
10/06/2019	09/23/2019	LX652132445US	54		21373553
10/06/2019	09/23/2019	LX652132516US	54		21373553
10/06/2019	09/23/2019	LX652132555US	54		21373553
10/06/2019	09/23/2019	LX652132476US	54		21373553
10/06/2019	09/23/2019	LW459116747DE	54		21373553
10/06/2019	09/23/2019	LW459116821DE	54		21373553
10/06/2019	09/23/2019	RX135793731DE	54		21373553
10/06/2019	09/23/2019	RX135793688DE	54		21373553
10/06/2019	09/23/2019	JJD0002251914213157	54		21373553
10/06/2019	09/23/2019	LX652132431US	54		21373553
10/06/2019	09/23/2019	LX652132414US	54		21373553
10/06/2019	09/24/2019	LW459201215DE	54		21373553
10/06/2019	09/24/2019	JJD0002251914214996	54		21373553
10/06/2019	09/24/2019	LW459201198DE	54		21373553
10/06/2019	09/24/2019	RX135830726DE	54		21373553
10/06/2019	09/24/2019	LX652135574US	54		21373553
10/06/2019	09/24/2019	LX652135631US	54		21373553
10/06/2019	09/24/2019	LX652135565US	54		21373553
10/06/2019	09/24/2019	LX652173997US	54		21373553
10/06/2019	09/24/2019	LW459201184DE	54		21373553
10/06/2019	09/24/2019	LX652241697US	54		21373553
10/06/2019	09/27/2019	UM271831015US	27		21373553
10/06/2019	09/27/2019	UM271830783US	27		21373553
10/06/2019	09/27/2019	UM271831188US	27		21373553
10/06/2019	09/27/2019	UM271830528US	27		21373553
10/06/2019	09/27/2019	UM271830973US	27		21373553
10/06/2019	09/27/2019	UM271831038US	27		21373553
10/06/2019	09/27/2019	UM271831024US	27		21373553
09/29/2019	08/26/2019	9374869903504042030408	82		21373553
09/29/2019	08/27/2019	9361289936900254395852	83	9374869903504045708564	21373553
09/29/2019	08/29/2019	9374869903504050438241	82		21373553
09/29/2019	08/29/2019	9374869903504050470784	82		21373553
09/29/2019	08/29/2019	9374869903504050433451	82		21373553
09/29/2019	08/29/2019	9374869903504050440053	82		21373553
09/29/2019	08/29/2019	9361289936900254395838	83	9374869903504050460808	21373553
09/29/2019	08/29/2019	9374869903504050457372	82		21373553
09/29/2019	08/29/2019	9361289936900254397221	83	9374869903504050447557	21373553
09/29/2019	09/02/2019	9361269903504057322318	83		21373553
09/29/2019	09/02/2019	9374869903504057116791	81		21373553
09/29/2019	09/02/2019	9374869903504057182376	81		21373553
09/29/2019	09/02/2019	9374869903504057176849	82		21373553
09/29/2019	09/02/2019	9374869903504057183175	82		21373553
09/29/2019	09/02/2019	9374869903504057176634	82		21373553
09/29/2019	09/02/2019	9374869903504057145593	82		21373553
09/29/2019	09/02/2019	9361289936900254397214	83	9374869903504057198537	21373553
09/29/2019	09/04/2019	9305589936900254387999	36	9361269903504064384156	21373553
09/29/2019	09/04/2019	9361269903504064398832	36		21373553
09/29/2019	09/04/2019	9361269903504064404090	36		21373553
09/29/2019	09/04/2019	9374869903504064440193	81		21373553
09/29/2019	09/04/2019	9374869903504064419519	81		21373553
09/29/2019	09/04/2019	9361289936900254395982	36	9374869903504064453865	21373553
09/29/2019	09/04/2019	9374869903504064516065	81		21373553
09/29/2019	09/04/2019	9374869903504064431658	81		21373553
09/29/2019	09/04/2019	9374869903504064527191	82		21373553
09/29/2019	09/04/2019	9361289936900254395999	83	9374869903504064367155	21373553
09/29/2019	09/04/2019	9374869903504064535141	82		21373553
09/29/2019	09/04/2019	9374869903504064518489	82		21373553
09/29/2019	09/09/2019	9361269903504077282791	36		21373553
